Contract Address,Classification,Detailed Classification,Upgradeability (PROXiFY),Upgradeability (USC HUNT)
0x4b0f027d0b694aae2761ed2d426295d4f949f5d0,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xFE02a32Cbe0CB9ad9A945576A5bb53A3C123A3A3,Forward proxy,No assignments to local12 outside the fallback function,n,y
0xFE02a32Cbe0CB9ad9A945576A5bb53A3C123A3A3,Forward proxy,No assignments to local12 outside the fallback function,n,y
0xa6a7cae8fe19daa4af8f06f5c9b13db432c73e7e,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xa0fdd7e5ba097c8a57897a063266d48f9cf5a0a0,Not a proxy,No delegatecall found,n,y
0xF9B0871d3A8dc365f6231653f7D879c9578ED039,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xF9B0871d3A8dc365f6231653f7D879c9578ED039,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xf188370a51e0713457c8b72c114bc522be348682,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x18e9be45b0e917b5648eb6716ece2de87474e535,Upgradeable proxy,Implementation Address can be modified,y,y
0x19a0420b98f9a34b2b9db3bcba35a6fffebb7add,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xFb03559227Dd73E82008a6952EccbBa5088c16d8,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0xb0b3e52e432b80d3a37e15ab6bbf4673225e160f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xe6f143a0e0a8f24f6294ce3432ea10fad0206920,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x5B2733C3D3acD4ABaf86719365FD683408b2c0A8,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x5B2733C3D3acD4ABaf86719365FD683408b2c0A8,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x51c9a18c87c89a34e1f3fe020b8f406f1300e909,Upgradeable proxy,Variable getImplementation assigned outside the fallback function,y,y
0x5ebbe396d852d4aba7412901d4add7c878f67f3a,Upgradeable proxy,Detected upgradeable proxy based on specific storage slot,y,n
0x064c7b5f496f4b72d728aabdda1af2c81b3beacb,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x599D92B453C010b1050d31C364f6ee17E819f193,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x6b33f15360cedbfb8f60539ec828ef52910aca9b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x7FA7dF4996AC59F398476892cfB195eD38543520,Upgradeable proxy,Variable var_1 assigned outside the fallback function,y,y
0x5A33C008FC80afE089eF5C7390eF3e17BfCA0645,Not a proxy,No delegatecall found,n,y
0x5f7e846319c0e297b0ae78b5087189b360d02e4b,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x4f8E0C546E0D0188e0d8107A4709482b4796a100,Upgradeable proxy,Variable proxyImplementation assigned outside the fallback function,y,y
0xbee78bcfb956edbfef19655471b5a6ee7bcd6b71,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xC67C620074440C15683acE78c1EfA38A4569969b,Upgradeable proxy,Implementation Address can be modified,y,y
0xd6ca32B782497a52a0F0E172Da9Ae28c1Df83B5A,Forward proxy,No assignments to var_1 outside the fallback function,n,n
0x522bb024c339a12be1a47229546f288c40b62d29,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x829c094f5034099E91AB1d553828F8A765a3DaA1,Forward proxy,No assignments to implementation outside the fallback function,n,n
0xc1b9eb46c3812b11b98ddacd80736329f3bc4747,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xD6A995d1e9E5D408bAF56Dd376ef8Db96E78FbA0,Upgradeable proxy,Implementation Address can be modified,y,y
0xCc28A1E703AE3aA71A3beea9D5084b7700f94D6d,Not a proxy,No delegatecall found,n,y
0xff26f400e57bf726822eacbb64fa1c52f1f27988,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xc229c69eb3bb51828d0caa3509a05a51083898dd,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0xf6b739084464bf0caddba440b03850507e656026,Not a proxy,No delegatecall found,n,n
0x39980A3d1ED5B2cdC48a2259d49D4A4A4201dD2e,Upgradeable proxy,Variable implementation assigned outside the fallback function,y,y
0x039fb002d21c1c5eeb400612aef3d64d49eb0d94,Not a proxy,No delegatecall found,n,y
0x99afe4683d8f6142c2e29b5406db2b88d878cdd1,Forward proxy,No assignments to var_1 outside the fallback function,n,n
0xc2DaE17Ba362fc4282363F4cdbd03Ba2a43257cD,Upgradeable proxy,Variable proxyImplementation assigned outside the fallback function,y,y
0x4F9c3332D352F1ef22F010ba93A9653261e1634b,Upgradeable proxy,Variable getImplementation assigned outside the fallback function,y,y
0x4F9c3332D352F1ef22F010ba93A9653261e1634b,Upgradeable proxy,Variable getImplementation assigned outside the fallback function,y,y
0xd897b5458afe7e2dc26d94ec33cf7d09a9158568,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xc011a72400e58ecd99ee497cf89e3775d4bd732f,Upgradeable proxy,Variable target assigned outside the fallback function,y,y
0xda3a932599abf754a9045a2c0013d323f1e1038a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,y,y
0x8a8c01a4d5f542a8efef517768dc4887e973e847,Not a proxy,No delegatecall found,n,y
