Contract Address,Classification,Detailed Classification,upgradeable_PROXiFY,upgradeable_SWORD
0xee6a9d6cb11a9796f767540f435f90f11a9b1414,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0xf9fd7a89bfb8a07a225080236e5ca570ee2a76a1,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x786018160e9224bad5a9633d5951c88ad1bec7f6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe7bd68547f41413a6baa7609550a7eb58c84c406,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xadbef24df642de86b95e2259f367463f6aec9047,Forward proxy,No assignments to var_1 outside the fallback function,0,1
0x5e30fc115d29504da86e48e067f0749324ad5373,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xbedf0be871514287815ecba7217380d6722ed9c6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x93e47ec9b8cd1a669c7267e20acf1f6a9c5340ba,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x09403fd14510f8196f7879ef514827cd76960b5d,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xd5433168ed0b1f7714819646606db509d9d8ec1f,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xfdd54d77551c66684ce73a696ac866f2af3292fc,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc36417063b6222c463d1b2af088e4de166bcfdcf,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1571ed0bed4d987fe2b498ddbae7dfa19519f651,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xc391d1b08c1403313b0c28d47202dfda015633c4,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xd76ebe0b19b59c3c8f8bd62421e5df232e6d9f35,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0cdb0751d289390ea3a9f17191f4b12056ffbb22,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf188370a51e0713457c8b72c114bc522be348682,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x660a37834e39fac21055d1f0feaedbb5485ab678,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2c56db587ad583328a3788c83bb698ecdace3760,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xbc2346c3c7f3998a12a1c8e7be44734ecc832763,Forward proxy,No assignments to var_2 outside the fallback function,0,1
0xae92978933bd440dd657523784d467ff3fc774a3,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x5a54ca44e8f5a1a695f8621f15bfa159a140bb61,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x03d560b0cdc5528f7e73f626e254bd08b1945491,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3cfd65ead05d8cb0feebb8d7350e2e772f38d689,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x47b3dcd3007303b85ffe1604239eebe3b66fbf58,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0x9318924cc95a8c7c63481be3b19fadeaccc3f7ca,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xa35b88441074facfeef4cbaf51563a637b5474ee,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x7a939bb714fd2a48ebeb1e495aa9aaa74ba9fa68,Forward proxy,No assignments to local1 outside the fallback function,0,1
0x51829d3233d567a27b9a09ff7f3f7ee144d182ca,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe539d876c77c5d87a669945382fadcbef0f295b7,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb8bd09c8499e2d9e8890a6b4f43bd656f77b7557,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x5e5445783a2983421038225c57847fb8f768951d,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x76bc15ca184fef534292da7a6043071ce94061ff,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xce27c95e51639164d38138706483f5273db4c24e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6ff8a397f7a04b41c58c00ab8e70aca7cbc0adba,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0xb6c743deb1021a98970223f0d907462a57230a14,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc08512927d12348f6620a698105e1baac6ecd911,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x91c353f7111be4c629b8fb4f9a5424eacba65a9f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd37e5aba557b98c753e60023a7c18241e4d918a2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x51c9a18c87c89a34e1f3fe020b8f406f1300e909,Upgradeable proxy,Variable getImplementation assigned outside the fallback function,1,1
0xa9cfcc5a540724f95d72df490e4f55d79bb14c78,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x18fe4b095dc23411857e174d8c561c860c6c7cd5,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0x2d3ae87688f740ba7f5fb1cce0c6b89bebaf4684,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x691ace5e56507c008d836c8c58ed93546bdc81ff,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe6260710dade04fda4349b38ddb82ee91b997ca2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x96345f4c2c7f5a88b377229bdea38dc1d7ccf637,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb698938b41abe65f0bb3c4cee428b4adb2a5d5d9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd2494c2451c88d68856f3b07d4b126b3cfb49d77,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xfe584fc2b820aef5e4976beb9379ecd22aed0c6c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x53503b14dfdb229d7837304dd5e3ba73ea5c0963,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa53bb7c21dee6e414ddbda78124e41e6ffb2f4a9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6c2e2cec8de4a6a071065d4bd5c496636570fdc2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe9ddb38352b396dc89fe7d5e348e23000f389811,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa4bf30c2f474fb2ffa35dbf432142dea08d6655e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
