Contract Address,Classification,Detailed Classification,Upgradeability (PROXiFYT),Upgradeability (USC HUNT)
0x4b0f027d0b694aae2761ed2d426295d4f949f5d0,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xFE02a32Cbe0CB9ad9A945576A5bb53A3C123A3A3,Forward proxy,No assignments to local12 outside the fallback function,n,y
0xFE02a32Cbe0CB9ad9A945576A5bb53A3C123A3A3,Forward proxy,No assignments to local12 outside the fallback function,n,y
0xa6a7cae8fe19daa4af8f06f5c9b13db432c73e7e,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xa0fdd7e5ba097c8a57897a063266d48f9cf5a0a0,Not a proxy,No delegatecall found,n,y
0x064c7b5f496f4b72d728aabdda1af2c81b3beacb,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x5A33C008FC80afE089eF5C7390eF3e17BfCA0645,Not a proxy,No delegatecall found,n,y
0x5f7e846319c0e297b0ae78b5087189b360d02e4b,Forward proxy,No assignments to local4 outside the fallback function,n,y
0xbee78bcfb956edbfef19655471b5a6ee7bcd6b71,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xc1b9eb46c3812b11b98ddacd80736329f3bc4747,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xCc28A1E703AE3aA71A3beea9D5084b7700f94D6d,Not a proxy,No delegatecall found,n,y
0x039fb002d21c1c5eeb400612aef3d64d49eb0d94,Not a proxy,No delegatecall found,n,y
0xd897b5458afe7e2dc26d94ec33cf7d09a9158568,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x8a8c01a4d5f542a8efef517768dc4887e973e847,Not a proxy,No delegatecall found,n,y
0xe01da25c86fe02869e98102516209f51777a5bd9,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x2306D4cB9553660780D41Fe4894FE003202B5fEC,Not a proxy,No delegatecall found,n,y
0x578a26ed597f89a05e0e163607f42c51c5015945,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x50040b95e06e030e90b67fe158e6c2c085acd867,Not a proxy,No delegatecall found,n,y
0xf1AFA2f0abae3Da08E5d181ea2E5D7481ce3b481,Not a proxy,No delegatecall found,n,y
0x5d24cf40ead0601893c212ff3af4895dc42a760b,Not a proxy,No delegatecall found,n,y
0x19c00323caFc23c4D72c1A25f0f78E769deAEEf7,Not a proxy,No delegatecall found,n,y
0xf7d5060c181f9ed59f619b2c945a2f7c3ee9cce2,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x7583a7a3852f742bBC66855F3502f1c512a0aD6E,Not a proxy,No delegatecall found,n,y
0xb3e0edda8c2aeabfdece18ad7ac1ea86eb7d583b,Not a proxy,No delegatecall found,n,y
0xa8305b9cfd9590d328e1ac5b13bdd647daec5652,Not a proxy,No delegatecall found,n,y
0x3e0c8881ccb875b5257d800be6ed33e06f500773,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xdc524e3c6910257744c1f93cf15e9f472b5bd236,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x34d50B679Bb74a3d4D27A82594e527Aea78ec548,Not a proxy,No delegatecall found,n,y
0xd43d38254e22487744bce554baca9aa35dfeb9cc,Forward proxy,No assignments to local1 outside the fallback function,n,y
0xBe9c5DA3624A098c05Df874b6b7e357859341294,Not a proxy,No delegatecall found,n,y
0x12e57f85b847bade37f37cde3442f00dc33b9982,Forward proxy,No assignments to local2 outside the fallback function,n,y
0x085D9b18BE81f2b0C35086972Caa46177205f54D,Not a proxy,No delegatecall found,n,y
0xfb918ca8543aefcb1754a656d3985b4fc4036860,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x1e6b51191FC6582F1b44a794022fc8352414A22F,Not a proxy,No delegatecall found,n,y
0xB032012073765A74f8F8Fe2e6685Ad70253058Fa,Not a proxy,No delegatecall found,n,y
0x46262af08d6b795efb08b4a6e486208f889e0c60,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x0000000000085d4780B73119b644AE5ecd22b376,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x79da9ce7e3af83f5302dc89c39387089dee75e4f,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x4936790a58f5ae1c06210cba4eb1024fd7d535ac,Forward proxy,No assignments to local1 outside the fallback function,n,y
0x3c4754b350f31e30d1f035564c0b6ef46aa925b5,Not a proxy,No delegatecall found,n,y
0x53aa48b2ac0071a6ce61ddb3ba4e41d395b2db51,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0xf8b94cd86fd64bd28b7b4988b718052ded52a849,Not a proxy,No delegatecall found,n,y
0x4e27A3E21E747cF875ad5829b6D9cB7700B8b5f0,Not a proxy,No delegatecall found,n,y
0x30a62b07169E19BB24da82B777d7bAF64C95Bc81,Not a proxy,No delegatecall found,n,y
0x33a0525410f4532221df6201ca8b013217c9232d,Forward proxy,No assignments to local18 outside the fallback function,n,y
0xD092F354F7170984d406c15e091f56853d0e29Bf,Forward proxy,No assignments to var_2 outside the fallback function,n,y
0x1c63d19a2d626e91dc67d93037e5716182bed6cd,Forward proxy,No assignments to local4 outside the fallback function,n,y
0x4D3CF9f182d56ED3DE0Bf4144bC4A301C54de48f,Not a proxy,No delegatecall found,n,y
0x4D3CF9f182d56ED3DE0Bf4144bC4A301C54de48f,Not a proxy,No delegatecall found,n,y
0xbf95d4957d481473e39c70d3bc08896740e3ca96,Not a proxy,No delegatecall found,n,y
