,Contract Address,Classification,Detailed Classification,upgradeable_x,upgradeable_y
4,0xadbef24df642de86b95e2259f367463f6aec9047,Forward proxy,No assignments to var_1 outside the fallback function,0,1
19,0xbc2346c3c7f3998a12a1c8e7be44734ecc832763,Forward proxy,No assignments to var_2 outside the fallback function,0,1
28,0x7a939bb714fd2a48ebeb1e495aa9aaa74ba9fa68,Forward proxy,No assignments to local1 outside the fallback function,0,1
64,0x000000885ffb27b4e2ab5284710729b96a58cac7,Forward proxy,No assignments to var_1 outside the fallback function,0,1
79,0x3ea496977a356024be096c1068a57bd0b92c7d7c,Forward proxy,No assignments to DFImplementation outside the fallback function,0,1
94,0x61a24e2ca23c789a3e33f3cc9930ab199ca93892,Forward proxy,No assignments to var_2 outside the fallback function,0,1
98,0x00fc67076077381321e04eb1c6bdd7d681fd9fd6,Forward proxy,No assignments to local1 outside the fallback function,0,1
112,0xc138413e1bc599ed09877f4659152ce080ab9d59,Not a proxy,No delegatecall found,0,1
121,0x1337def1373bb63196f3d1443ce11d8d962543bb,Forward proxy,No assignments to local1 outside the fallback function,0,1
128,0xd82308cbc710c4171f3fcc513f0670af8229f666,Forward proxy,No assignments to local1 outside the fallback function,0,1
132,0x335e07b1465d1158b8300c675ee8903c65981266,Forward proxy,No assignments to local4 outside the fallback function,0,1
140,0xd25ba3ee5f67b6b61620406646e709720015550b,Forward proxy,No assignments to local4 outside the fallback function,0,1
147,0xd897b5458afe7e2dc26d94ec33cf7d09a9158568,Forward proxy,No assignments to var_2 outside the fallback function,0,1
148,0x9dce896ddc20ba883600176678cbee2b8ba188a9,Forward proxy,No assignments to var_2 outside the fallback function,0,1
190,0xc68b5eb9e035b2b84568a4c6201e3b200c0236ba,Not a proxy,No delegatecall found,0,1
191,0x6dc804739d31169eb682d0572e500b559890081d,Forward proxy,No assignments to local1 outside the fallback function,0,1
208,0xf86048dff23cf130107dfb4e6386f574231a5c65,Not a proxy,No delegatecall found,0,1
210,0x901037e4e90d380c99dac5c792bb9320a65a2345,Forward proxy,No assignments to var_2 outside the fallback function,0,1
215,0x254891fc1d9545c5fd664b60702899e5e4008481,Forward proxy,No assignments to local1 outside the fallback function,0,1
230,0x63d630b6d89c21e171e86c51c7243284510dbd79,Not a proxy,No delegatecall found,0,1
240,0xbab93311de250b5b422c705129b3617b3cb6e9e1,Forward proxy,No assignments to local1 outside the fallback function,0,1
249,0xf4311ad92f47187a2744295a2fc9097cc90d0104,Not a proxy,No delegatecall found,0,1
253,0xc76c6aba244061afb07a6da5961f6046bdef969c,Forward proxy,No assignments to local1 outside the fallback function,0,1
262,0xba4ffa404569e9ce1ca45b2c8f113108025483ec,Forward proxy,No assignments to dforceSplitImplementation outside the fallback function,0,1
264,0x1337def157efdef167a81b3bab95385ce5a14477,Forward proxy,No assignments to local1 outside the fallback function,0,1
269,0xe01025a466d3faf937b23c6366f5509f0cea37d1,Forward proxy,No assignments to local4 outside the fallback function,0,1
276,0xacd5b642a3f2ce2d0796097c90f19395ee3312ab,Forward proxy,No assignments to var_1 outside the fallback function,0,1
302,0x8c4b4e9b0b8e9ebc4aac12826d78e0a87f8fd519,Forward proxy,No assignments to var_2 outside the fallback function,0,1
329,0x406555dbf02e9e4df9adeaec9da76abeed8c1bc3,Not a proxy,No delegatecall found,0,1
336,0x2499e7259594044d7cc0a6fe27f4935d62ef1dbf,Not a proxy,No delegatecall found,0,1
341,0xf7011510572d0efe31d1e90cd6dc1ef84e6b13b8,Not a proxy,No delegatecall found,0,1
344,0xb8790c911fa32132eddcfd250454dff0448682b8,Forward proxy,No assignments to var_2 outside the fallback function,0,1
351,0xbd27ce697a32476098b788b239e57aacc6dfcf72,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
353,0x16c9cf62d8dac4a38fb50ae5fa5d51e9170f3179,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
